名次,馬號,馬名,騎師,練馬師,排位體重,實際負磅,檔位,頭馬距離,沿途走位,完成時間,獨嬴賠率,horse_info_url,日期,場次,horse_id
9,6,奮鬥齊心 ,希威森,徐雨石,1099,126.0,9,6-1/4,1 4 1 3 9,1:10.81,92.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D349,05/02/2023,5,D349
10,13,馬上旺 ,蘇兆輝,呂健威,1160,117.0,12,7-1/2,1 1 1 2 1 0,1:10.99,13.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G276,05/02/2023,5,G276
11,10,連連勝利 ,嘉里,蔡約翰,1018,122.0,10,7-3/4,6 4 1 1,1:11.04,37.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H097,05/02/2023,5,H097
12,12,陽明冠爵 ,楊明綸,韋達,1128,118.0,2,8,1 2 1 1 1 2,1:11.09,61.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D240,05/02/2023,5,D240
13,5,好好達人 ,波健士,葉楚航,1117,128.0,4,9-1/4,1 3 1 4 1 3,1:11.27,100.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H042,05/02/2023,5,H042
14,1,烈火駿馬 ,何澤堯,姚本輝,1186,133.0,13,9-3/4,5 6 1 4,1:11.35,5.4,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G339,05/02/2023,5,G339
1,2,多巴先生 ,布文,方嘉柏,1162,133.0,3,-,3 3 3 3 1,1:48.37,4.2,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G103,05/02/2023,7,G103
2,5,健康快駒 ,波健士,蔡約翰,979,116.0,6,3/4,5 5 5 5 2,1:48.49,2.4,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G010,05/02/2023,7,G010
3,4,嘉應之星 ,霍宏聲,告東尼,1167,131.0,5,1-1/4,2 2 2 2 3,1:48.59,8.2,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2018_C198,05/02/2023,7,C198
4,1,龍鼓飛揚 ,班德禮,伍鵬志,1141,135.0,2,1-3/4,6 6 6 6 4,1:48.65,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2018_C120,05/02/2023,7,C120
5,6,路路醒 ,田泰安,羅富全,1110,115.0,1,3-3/4,4 4 4 4 5,1:48.97,13.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E053,05/02/2023,7,E053
6,3,發財先鋒 ,蘇兆輝,羅富全,1143,132.0,4,5-1/4,1 1 1 1 6,1:49.21,3.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G171,05/02/2023,7,G171
 1,9,越駿歡欣 ,巴度,高伯新,1093,122.0,10,-,4 4 3 1,1:34.81,4.4,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G446,05/02/2023,9,G446
2,11,隱形翅膀 ,班德禮,姚本輝,1091,121.0,8,短馬頭位,8 7 8 2,1:34.82,21.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G225,05/02/2023,9,G225
3,13,領航宇宙 ,潘頓,黎昭昇,1077,120.0,2,1/2,7 8 7 3,1:34.91,9.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G436,05/02/2023,9,G436
